,Date,Open,High,Low,Close,Change,Trend,Gap
79,2016-08-23,19311.9,19372.65,19246.9,19341.65,29.75,Bullish,D
80,2016-08-24,19358.7,19392.2,19284.35,19355.6,-3.100000000002183,Bearish,U
81,2016-08-25,19383.7,19432.75,19282.8,19304.25,-79.45000000000073,Bearish,U
82,2016-08-26,19336.45,19358.0,19133.9,19195.75,-140.70000000000073,Bearish,U
83,2016-08-29,19174.45,19247.85,19096.7,19217.0,42.54999999999927,Bullish,D
84,2016-08-30,19306.5,19546.35,19306.5,19531.55,225.04999999999927,Bullish,U
85,2016-08-31,19595.9,19823.4,19595.9,19787.6,191.6999999999971,Bullish,U
86,2016-09-01,19805.8,19928.2,19738.3,19788.85,-16.950000000000728,Bearish,U
87,2016-09-02,19830.35,19911.25,19787.6,19883.2,52.85000000000218,Bullish,U
88,2016-09-06,19990.95,20459.45,19990.95,20426.2,435.25,Bullish,U
89,2016-09-07,20505.8,20575.8,20376.75,20406.9,-98.89999999999782,Bearish,U
90,2016-09-08,20439.2,20477.4,20335.2,20417.25,-21.950000000000728,Bearish,U
91,2016-09-09,20274.75,20349.7,20139.15,20245.3,-29.450000000000728,Bearish,D
92,2016-09-12,19861.45,19861.45,19735.55,19790.6,-70.85000000000218,Bearish,D
93,2016-09-14,19757.05,19953.15,19732.15,19909.15,152.10000000000218,Bullish,D
94,2016-09-15,19927.6,19955.4,19730.25,19837.55,-90.04999999999927,Bearish,U
95,2016-09-16,19935.85,20227.2,19783.6,19855.45,-80.39999999999782,Bearish,U
96,2016-09-19,19892.2,20014.4,19849.65,19906.85,14.649999999997817,Bullish,U
97,2016-09-20,19957.35,19964.3,19797.5,19852.3,-105.04999999999927,Bearish,U
98,2016-09-21,19902.7,19937.85,19749.95,19828.45,-74.25,Bearish,U
99,2016-09-22,20153.1,20264.8,19996.9,20109.6,-43.5,Bearish,U
100,2016-09-23,20136.75,20137.55,19861.45,19901.8,-234.95000000000073,Bearish,U
101,2016-09-26,19792.2,19794.15,19568.35,19591.75,-200.45000000000073,Bearish,D
102,2016-09-27,19652.95,19696.45,19479.15,19518.7,-134.25,Bearish,U
103,2016-09-28,19542.0,19700.0,19509.65,19653.55,111.54999999999927,Bullish,U
104,2016-09-29,19762.3,19793.2,19059.05,19183.65,-578.6499999999978,Bearish,U
105,2016-09-30,19116.0,19330.85,19085.2,19285.7,169.70000000000073,Bullish,D
106,2016-10-03,19395.55,19611.25,19363.95,19589.05,193.5,Bullish,U
107,2016-10-04,19641.75,19747.45,19527.35,19672.7,30.950000000000728,Bullish,U
108,2016-10-05,19801.3,19816.5,19492.8,19536.85,-264.4500000000007,Bearish,U
109,2016-10-06,19518.55,19570.7,19325.8,19395.05,-123.5,Bearish,D
110,2016-10-07,19398.05,19456.0,19318.0,19400.1,2.0499999999992724,Bullish,U
111,2016-10-10,19489.5,19501.45,19351.35,19378.55,-110.95000000000073,Bearish,U
112,2016-10-13,19295.55,19295.55,18824.4,18954.25,-341.2999999999993,Bearish,D
113,2016-10-14,19016.7,19053.5,18926.15,19020.15,3.4500000000007276,Bullish,U
114,2016-10-17,19136.3,19241.75,19002.45,19070.4,-65.89999999999782,Bearish,U
115,2016-10-18,19174.7,19511.8,19162.85,19495.05,320.34999999999854,Bullish,U
116,2016-10-19,19570.05,19576.3,19322.75,19412.1,-157.95000000000073,Bearish,U
117,2016-10-20,19493.9,19722.85,19479.25,19658.7,164.79999999999927,Bullish,U
118,2016-10-21,19636.4,19744.0,19516.4,19710.9,74.5,Bullish,D
119,2016-10-24,19763.85,19897.85,19751.65,19807.9,44.05000000000291,Bullish,U
120,2016-10-25,19907.7,19922.7,19711.95,19834.9,-72.79999999999927,Bearish,U
121,2016-10-26,19581.7,19725.9,19434.5,19483.6,-98.10000000000218,Bearish,D
122,2016-10-27,19452.0,19544.2,19252.1,19514.6,62.599999999998545,Bullish,D
123,2016-10-28,19507.85,19589.7,19362.0,19555.95,48.10000000000218,Bullish,D
124,2016-10-30,19657.8,19666.8,19484.65,19523.55,-134.25,Bearish,U
125,2016-11-01,19578.6,19591.65,19417.3,19458.6,-120.0,Bearish,U
126,2016-11-02,19223.5,19296.55,19158.75,19227.9,4.400000000001455,Bullish,D
127,2016-11-03,19201.95,19319.65,19119.3,19178.7,-23.25,Bearish,D
128,2016-11-04,19223.85,19223.9,18961.15,19058.1,-165.75,Bearish,U
129,2016-11-07,19317.85,19378.0,19233.0,19356.0,38.150000000001455,Bullish,U
130,2016-11-08,19490.75,19549.45,19322.15,19500.8,10.049999999999272,Bullish,U
131,2016-11-09,18270.9,19587.8,18143.7,19518.25,1247.3499999999985,Bullish,D
132,2016-11-10,19827.5,20283.15,19787.45,20200.25,372.75,Bullish,U
